Message,Tag,Page নাম,Total Tagged (no confusion),Count 0,Count 1,Count 2,Count 3,Count 4,Count 5,Total Normal,Total Hate
,,,10196,5480,3313,417,50,173,763,6416,3780
আসল সোনা লয়া চুপ কইরা হুইত্তা রয়ছি,0,Shomoy TV,,,,,,,,,
সে খানে কি জামায়াত আছে নাকি,0,Shomoy TV,,,,,,,,,
এদিকে খালাতো বোনকে ঠকিয়ে ২ ভরি স্বর্ন নিয়ে যাওয়া প্রতারকগণ,0,Shomoy TV,,,,,,,,,
সময় টিভি এখন পতিতাদের টিভি,2,Shomoy TV,,,,,,,,,
এখন সাংবাদিকদের উচিত জাতিকে আগের লিংকটা সরবরাহ করা,0,Shomoy TV,,,,,,,,,
নাম লিংক পাবলিশ করে দেয়া হোক,0,Shomoy TV,,,,,,,,,
আল জাজিরার ফালতু ডকুমেন্টারির চেয়ে এটা আমাদের জন্য অনেক ভালো খবর শুভকামনা রইলো প্রিয় অভিনেত্রী ও নেত্রী,0,Shomoy TV,,,,,,,,,
পতিতাদের নিয়ে নিউজ করাই তোদের কাজ,2,Shomoy TV,,,,,,,,,
কেনো রে ভাই,0,Shomoy TV,,,,,,,,,
নাম স্যারের তরফ থেকে শুভেচ্ছা রইলো,0,Shomoy TV,,,,,,,,,
ঠিক বলছেন প্রিয় অভিনেত্রী শালারা চুর আপনার মোবাইল নিয়ে গেছে ,0,Shomoy TV,,,,,,,,,
সাংবাদিকরা সব খানকির পোলা,2,Shomoy TV,,,,,,,,,
গর্ব হয় আমাদের সেনাপ্রধান নাম ভাইকে বিদেশি টিভিতে ইংরেজিতে দ্যাহাইছে,0,Shomoy TV,,,,,,,,,
আল জাজিরা এমন কোন শক্তি নয় যাকে পরাজিত করা যাবে না আমরা আল জাজিরার চেয়েও শক্তিশালী কাওয়া নাম  ,0,Shomoy TV,,,,,,,,,
অবশ্যই সত্যকে সমর্থন করা উচিত,0,Shomoy TV,,,,,,,,,
বিটিভি ৭১ টিভি  আর সময় নিউজ টিভির সম্প্রচার ছাড়া সমগ্র পৃথিবীর সকল টিভির সম্প্রচার অতিস্বত্তর বন্ধ করে দেয়া হউক,0,Shomoy TV,,,,,,,,,
নাম দাদু,0,Shomoy TV,,,,,,,,,
সময়নিউজ কি বিটিভি হয়ে গেল নাকি কতো টাকা দিসে ভাই ,0,Shomoy TV,,,,,,,,,
নাম টিভিতে এইসব নিউজ মিয়া,0,Shomoy TV,,,,,,,,,
সমর্থন না দিলেতো মেয়েকে তালাক দিবে,0,Shomoy TV,,,,,,,,,
আলজাজিরা রিপোর্টে সব প্রামাণিক দলিল আছে এরপরও মাফিয়ারা এটা অস্বীকার করে কেমনে আলজাজিরা কি  ৭১ টিভি কিংবা সময় টিভি নাকি ,0,Shomoy TV,,,,,,,,,
সময় নিউজ মিডিয়া কে ৭১ টিভির মতো বয়কট করতে হবে সময় মিডিয়া সরাসরি স্বৈরাচারী ভোট চোর সরকারের দালালী করতেছে,0,Shomoy TV,,,,,,,,,
প্যারা নাই চিল,0,Shomoy TV,,,,,,,,,
তোমরা নিজেদের আর কতো হলুদ সাংবাদিক হিসাবে পরিচয় দিবা  সত্যকে সত্য বলতে শিখো,0,Shomoy TV,,,,,,,,,
সময় টিভির তথ্য এটি সেরা ছিল,0,Shomoy TV,,,,,,,,,
সময় টিভির সাংবাদিক আমার বউয়ের ছোট ভাই,0,Shomoy TV,,,,,,,,,
সময় টিভি দালাল,0,Shomoy TV,,,,,,,,,
এক রিপোর্টেই প্যান্ট খুলে গেছে  বাকি রিপোর্ট গুলো বাহির হলে জাইঙ্গা নিয়ে যাবে তখন কি করবেন  ,5,Shomoy TV,,,,,,,,,
এতো সুন্দর পোষ্ট করার জন্য আপনি পেয়ে যাচ্ছেন চাল ৩ কেজি আলু ২ কেজি পেঁয়াজ ২ কেজি হলুদ গুড়ো ২৫০ গ্রাম মরিচের গুড়ো ২৫০ গ্রাম গরম মশলার প্যাকেট ১ টি ১ প্যাকেট বিস্কুট  লবন ১ প্যাকেট ১ লিটার তেল (সাদা) পাকনা কলা অর্ধেক পিছ ডিম ১ ট্রে (২৪টি) ১ টি স্যানিটাইজার এবং ১ টি  মাস্ক ,0,Shomoy TV,,,,,,,,,
সময় টিভি কি বিটিভি হয়ে গেল নাকি  কতো টাকা দিসে ভাই ,0,Shomoy TV,,,,,,,,,
ধরে নিলাম তিনি অনেক খারাপ তবে তিনি যে রিপোর্ট দিয়েছেন সেটা যে অসত্য প্রমান করেন,0,Shomoy TV,,,,,,,,,
নাম চাচা নিজের লেজ দিয়ে কোন বাল পালাইতে পারে নাই এখন কুকুরের লেজ ধরে টানাটানি,1,Shomoy TV,,,,,,,,,
বাঙালি কি পরিমাণ বিরক্ত সেটা বিভিন্ন নিউজ এর কমেন্ট বক্স দেখলে বুঝা যায়,0,Shomoy TV,,,,,,,,,
